CODE,CYCLES,OP,ARG1,ARG2,CYCLES,OP (CE),ARG1,ARG2,CYCLES,OP (CF),ARG1,ARG2
0,2,ADD,A,A,4,ADD,A,[IX+dd],4,ADD,BA,BA
1,2,ADD,A,B,4,ADD,A,[IY+dd],4,ADD,BA,HL
2,2,ADD,A,#nn,4,ADD,A,[IX+L],4,ADD,BA,IX
3,2,ADD,A,[HL],4,ADD,A,[IY+L],4,ADD,BA,IY
4,3,ADD,A,[BR:ll],4,ADD,[HL],A,4,ADC,BA,BA
5,4,ADD,A,[hhll],5,ADD,[HL],#nn,4,ADC,BA,HL
6,2,ADD,A,[IX],5,ADD,[HL],[IX],4,ADC,BA,IX
7,2,ADD,A,[IY],5,ADD,[HL],[IY],4,ADC,BA,IY
8,2,ADC,A,A,4,ADC,A,[IX+dd],4,SUB,BA,BA
9,2,ADC,A,B,4,ADC,A,[IY+dd],4,SUB,BA,HL
0A,2,ADC,A,#nn,4,ADC,A,[IX+L],4,SUB,BA,IX
0B,2,ADC,A,[HL],4,ADC,A,[IY+L],4,SUB,BA,IY
0C,3,ADC,A,[BR:ll],4,ADC,[HL],A,4,SBC,BA,BA
0D,4,ADC,A,[hhll],5,ADC,[HL],#nn,4,SBC,BA,HL
0E,2,ADC,A,[IX],5,ADC,[HL],[IX],4,SBC,BA,IX
0F,2,ADC,A,[IY],5,ADC,[HL],[IY],4,SBC,BA,IY
10,2,SUB,A,A,4,SUB,A,[IX+dd],0,undefined,,
11,2,SUB,A,B,4,SUB,A,[IY+dd],0,undefined,,
12,2,SUB,A,#nn,4,SUB,A,[IX+L],0,undefined,,
13,2,SUB,A,[HL],4,SUB,A,[IY+L],0,undefined,,
14,3,SUB,A,[BR:ll],4,SUB,[HL],A,0,undefined,,
15,4,SUB,A,[hhll],5,SUB,[HL],#nn,0,undefined,,
16,2,SUB,A,[IX],5,SUB,[HL],[IX],0,undefined,,
17,2,SUB,A,[IY],5,SUB,[HL],[IY],0,undefined,,
18,2,SBC,A,A,4,SBC,A,[IX+dd],4,CP,BA,BA
19,2,SBC,A,B,4,SBC,A,[IY+dd],4,CP,BA,HL
1A,2,SBC,A,#nn,4,SBC,A,[IX+L],4,CP,BA,IX
1B,2,SBC,A,[HL],4,SBC,A,[IY+L],4,CP,BA,IY
1C,3,SBC,A,[BR:ll],4,SBC,[HL],A,0,undefined,,
1D,4,SBC,A,[hhll],5,SBC,[HL],#nn,0,undefined,,
1E,2,SBC,A,[IX],5,SBC,[HL],[IX],0,undefined,,
1F,2,SBC,A,[IY],5,SBC,[HL],[IY],0,undefined,,
20,2,AND,A,A,4,AND,A,[IX+dd],4,ADD,HL,BA
21,2,AND,A,B,4,AND,A,[IY+dd],4,ADD,HL,HL
22,2,AND,A,#nn,4,AND,A,[IX+L],4,ADD,HL,IX
23,2,AND,A,[HL],4,AND,A,[IY+L],4,ADD,HL,IY
24,3,AND,A,[BR:ll],4,AND,[HL],A,4,ADC,HL,BA
25,4,AND,A,[hhll],5,AND,[HL],#nn,4,ADC,HL,HL
26,2,AND,A,[IX],5,AND,[HL],[IX],4,ADC,HL,IX
27,2,AND,A,[IY],5,AND,[HL],[IY],4,ADC,HL,IY
28,2,OR,A,A,4,OR,A,[IX+dd],4,SUB,HL,BA
29,2,OR,A,B,4,OR,A,[IY+dd],4,SUB,HL,HL
2A,2,OR,A,#nn,4,OR,A,[IX+L],4,SUB,HL,IX
2B,2,OR,A,[HL],4,OR,A,[IY+L],4,SUB,HL,IY
2C,3,OR,A,[BR:ll],4,OR,[HL],A,4,SBC,HL,BA
2D,4,OR,A,[hhll],5,OR,[HL],#nn,4,SBC,HL,HL
2E,2,OR,A,[IX],5,OR,[HL],[IX],4,SBC,HL,IX
2F,2,OR,A,[IY],5,OR,[HL],[IY],4,SBC,HL,IY
30,2,CP,A,A,4,CP,A,[IX+dd],0,undefined,,
31,2,CP,A,B,4,CP,A,[IY+dd],0,undefined,,
32,2,CP,A,#nn,4,CP,A,[IX+L],0,undefined,,
33,2,CP,A,[HL],4,CP,A,[IY+L],0,undefined,,
34,3,CP,A,[BR:ll],3,CP,[HL],A,0,undefined,,
35,4,CP,A,[hhll],4,CP,[HL],#nn,0,undefined,,
36,2,CP,A,[IX],4,CP,[HL],[IX],0,undefined,,
37,2,CP,A,[IY],4,CP,[HL],[IY],0,undefined,,
38,2,XOR,A,A,4,XOR,A,[IX+dd],4,CP,HL,BA
39,2,XOR,A,B,4,XOR,A,[IY+dd],4,CP,HL,HL
3A,2,XOR,A,#nn,4,XOR,A,[IX+L],4,CP,HL,IX
3B,2,XOR,A,[HL],4,XOR,A,[IY+L],4,CP,HL,IY
3C,3,XOR,A,[BR:ll],4,XOR,[HL],A,0,undefined,,
3D,4,XOR,A,[hhll],5,XOR,[HL],#nn,0,undefined,,
3E,2,XOR,A,[IX],5,XOR,[HL],[IX],0,undefined,,
3F,2,XOR,A,[IY],5,XOR,[HL],[IY],0,undefined,,
40,1,LD,A,A,4,LD,A,[IX+dd],4,ADD,IX,BA
41,1,LD,A,B,4,LD,A,[IY+dd],4,ADD,IX,HL
42,1,LD,A,L,4,LD,A,[IX+L],4,ADD,IY,BA
43,1,LD,A,H,4,LD,A,[IY+L],4,ADD,IY,HL
44,3,LD,A,[BR:ll],4,LD,[IX+dd],A,4,ADD,SP,BA
45,2,LD,A,[HL],4,LD,[IY+dd],A,4,ADD,SP,HL
46,2,LD,A,[IX],4,LD,[IX+L],A,0,undefined,,
47,2,LD,A,[IY],4,LD,[IY+L],A,0,undefined,,
48,1,LD,B,A,4,LD,B,[IX+dd],4,SUB,IX,BA
49,1,LD,B,B,4,LD,B,[IY+dd],4,SUB,IX,HL
4A,1,LD,B,L,4,LD,B,[IX+L],4,SUB,IY,BA
4B,1,LD,B,H,4,LD,B,[IY+L],4,SUB,IY,HL
4C,3,LD,B,[BR:ll],4,LD,[IX+dd],B,4,SUB,SP,BA
4D,2,LD,B,[HL],4,LD,[IY+dd],B,4,SUB,SP,HL
4E,2,LD,B,[IX],4,LD,[IX+L],B,0,undefined,,
4F,2,LD,B,[IY],4,LD,[IY+L],B,0,undefined,,
50,1,LD,L,A,4,LD,L,[IX+dd],0,undefined,,
51,1,LD,L,B,4,LD,L,[IY+dd],0,undefined,,
52,1,LD,L,L,4,LD,L,[IX+L],0,undefined,,
53,1,LD,L,H,4,LD,L,[IY+L],0,undefined,,
54,3,LD,L,[BR:ll],4,LD,[IX+dd],L,0,undefined,,
55,2,LD,L,[HL],4,LD,[IY+dd],L,0,undefined,,
56,2,LD,L,[IX],4,LD,[IX+L],L,0,undefined,,
57,2,LD,L,[IY],4,LD,[IY+L],L,0,undefined,,
58,1,LD,H,A,4,LD,H,[IX+dd],0,undefined,,
59,1,LD,H,B,4,LD,H,[IY+dd],0,undefined,,
5A,1,LD,H,L,4,LD,H,[IX+L],0,undefined,,
5B,1,LD,H,H,4,LD,H,[IY+L],0,undefined,,
5C,3,LD,H,[BR:ll],4,LD,[IX+dd],H,4,CP,SP,BA
5D,2,LD,H,[HL],4,LD,[IY+dd],H,4,CP,SP,HL
5E,2,LD,H,[IX],4,LD,[IX+L],H,0,undefined,,
5F,2,LD,H,[IY],4,LD,[IY+L],H,0,undefined,,
60,2,LD,[IX],A,5,LD,[HL],[IX+dd],4,ADC,BA,#mmnn
61,2,LD,[IX],B,5,LD,[HL],[IY+dd],4,ADC,HL,#mmnn
62,2,LD,[IX],L,5,LD,[HL],[IX+L],4,SBC,BA,#mmnn
63,2,LD,[IX],H,5,LD,[HL],[IY+L],4,SBC,HL,#mmnn
64,4,LD,[IX],[BR:ll],0,undefined,,,0,undefined,,
65,3,LD,[IX],[HL],0,undefined,,,0,undefined,,
66,3,LD,[IX],[IX],0,undefined,,,0,undefined,,
67,3,LD,[IX],[IY],0,undefined,,,0,undefined,,
68,2,LD,[HL],A,5,LD,[IX],[IX+dd],4,ADD,SP,#mmnn
69,2,LD,[HL],B,5,LD,[IX],[IY+dd],0,undefined,,
6A,2,LD,[HL],L,5,LD,[IX],[IX+L],4,SUB,SP,#mmnn
6B,2,LD,[HL],H,5,LD,[IX],[IY+L],0,undefined,,
6C,4,LD,[HL],[BR:ll],0,undefined,,,4,CP,SP,#mmnn
6D,3,LD,[HL],[HL],0,undefined,,,0,undefined,,
6E,3,LD,[HL],[IX],0,undefined,,,4,LD,SP,#mmnn
6F,3,LD,[HL],[IY],0,undefined,,,0,undefined,,
70,2,LD,[IY],A,0,undefined,,,6,LD,BA,[SP+dd]
71,2,LD,[IY],B,0,undefined,,,6,LD,HL,[SP+dd]
72,2,LD,[IY],L,0,undefined,,,6,LD,IX,[SP+dd]
73,2,LD,[IY],H,0,undefined,,,6,LD,IY,[SP+dd]
74,4,LD,[IY],[BR:ll],0,undefined,,,6,LD,[SP+dd],BA
75,3,LD,[IY],[HL],0,undefined,,,6,LD,[SP+dd],HL
76,3,LD,[IY],[IX],0,undefined,,,6,LD,[SP+dd],IX
77,3,LD,[IY],[IY],0,undefined,,,6,LD,[SP+dd],IY
